sep=,
Table Name,Column Name,Data Type Column,Sample Row 1 Value,Sample Row 2 Value,Sample Row 3 Value
d_Company,Company Name,String,,,
d_Company,Company Code|Name,String,,,
d_Company,Company Name|Code,String,,,
d_Company,Index,Integer,,,
d_Company,Company Code,Integer,,,
s_ReportLines,Line N°,Integer,,,
s_ReportLines,Reporting Line,String,,,
s_ReportLines,Report Full,String,,,
s_ReportLines,Line Name,String,,,
s_ReportLines,Sign,String,,,
s_ReportLines,Number Format,String,,,
s_ReportLines,Nominator element,String,,,
s_ReportLines,Denominator,String,,,
s_ReportLines,Indent Repeat,Integer,,,
s_ReportLines,Line Name (Indent),String,,,
s_ReportLines,Line counter,Integer,,,
s_ReportLines,Level0_BackColor,String,,,
s_ReportLines,Level1_BackColor,String,,,
s_ReportLines,Level2_BackColor,String,,,
s_ReportLines,Level0_FontColor,String,,,
s_ReportLines,Level1_FontColor,String,,,
s_ReportLines,Level2_FontColor,String,,,
s_ReportLines,Sign2,String,,,
s_ReportLines,Report ID,String,,,
s_ReportLines,Report Type,String,,,
s_ReportLines,Report - Line ID,String,,,
d_Date,Date,DateTime,,,
d_Date,YearSortnr,Integer,,,
d_Date,MonthSortnr,Integer,,,
d_Date,DayofMonthnr,Integer,,,
d_Date,DateSortnr,Integer,,,
d_Date,Month (long-en),String,,,
d_Date,Month (mmm-en),String,,,
d_Date,YearMonthseqnr,Integer,,,
d_Date,YearMonthSortNr,Integer,,,
d_Date,Month Year (MMMYY),String,,,
d_Date,Month Year (MMM YYYY),String,,,
d_Date,QuarterSortnr,Integer,,,
d_Date,Quarter,String,,,
d_Date,YearQuarterSortnr,Integer,,,
d_Date,QuarterYear,String,,,
d_Date,Weekdaynr,Integer,,,
d_Date,WeekdayName (ddd-en),String,,,
d_Date,End of Month Flag,Integer,,,
d_Date,Days in Month,Integer,,,
d_Date,Week of Year,Integer,,,
d_Date,Week of Month,Integer,,,
d_Date,Start of Week,DateTime,,,
d_Date,End of Week,DateTime,,,
d_Date,Holiday,String,,,
d_Date,Working day (0/1),Integer,,,
d_Date,Month Initial,String,,,
d_GL Account,BS_PL Line,String,,,
d_GL Account,GL Account Name,String,,,
d_GL Account,GL Account Code,String,,,
