sep=,
Table Name,Column Name,Data Type Column,Sample Row 1 Value,Sample Row 2 Value,Sample Row 3 Value
d_Company,Company Name,String,Vincent Sheppard,,
d_Company,Company Code|Name,String,10000|Vincent Sheppard,,
d_Company,Company Name|Code,String,Vincent Sheppard|10000,,
d_Company,Index,Integer,1,,
d_Company,Company Code,Integer,10000,,
s_ReportLines,Line N°,Integer,66,,
s_ReportLines,Reporting Line,String,[P2_NETS] Invoiced transport,,
s_ReportLines,Report Full,String,07|MN. Managerial P&L,,
s_ReportLines,Line Name,String,[P2_NETS] Invoiced transport,,
s_ReportLines,Sign,String,Keep,,
s_ReportLines,Number Format,String,Crcy,,
s_ReportLines,Nominator element,String,[P2_NETS] Invoiced transport,,
s_ReportLines,Denominator,String,Net Turnover,,
s_ReportLines,Indent Repeat,Integer,0,,
s_ReportLines,Line Name (Indent),String,[P2_NETS] Invoiced transport,,
s_ReportLines,Line counter,Integer,0,,
s_ReportLines,Level0_BackColor,String,#FFFFE5,,
s_ReportLines,Level1_BackColor,String,#FFFFE5,,
s_ReportLines,Level2_BackColor,String,#FFFFE5,,
s_ReportLines,Level0_FontColor,String,#FFFFFF,,
s_ReportLines,Level1_FontColor,String,#FFFFFF,,
s_ReportLines,Level2_FontColor,String,#FFFFFF,,
s_ReportLines,Sign2,String,N,,
s_ReportLines,Report ID,String,1,,
s_ReportLines,Report Type,String,P&L,,
s_ReportLines,Report - Line ID,String,2,,
d_Date,Date,DateTime,02/01/2023 00:00:00,,
d_Date,YearSortnr,Integer,2023,,
d_Date,MonthSortnr,Integer,1,,
d_Date,DayofMonthnr,Integer,2,,
d_Date,DateSortnr,Integer,20230102,,
d_Date,Month (long-en),String,January,,
d_Date,Month (mmm-en),String,JAN,,
d_Date,YearMonthseqnr,Integer,24277,,
d_Date,YearMonthSortNr,Integer,202301,,
d_Date,Month Year (MMMYY),String,JAN23,,
d_Date,Month Year (MMM YYYY),String,JAN 2023,,
d_Date,QuarterSortnr,Integer,1,,
d_Date,Quarter,String,Q1,,
d_Date,YearQuarterSortnr,Integer,20231,,
d_Date,QuarterYear,String,Q1 2023,,
d_Date,Weekdaynr,Integer,1,,
d_Date,WeekdayName (ddd-en),String,Mon,,
d_Date,End of Month Flag,Integer,0,,
d_Date,Days in Month,Integer,31,,
d_Date,Week of Year,Integer,2,,
d_Date,Week of Month,Integer,2,,
d_Date,Start of Week,DateTime,02/01/2023 00:00:00,,
d_Date,End of Week,DateTime,08/01/2023 00:00:00,,
d_Date,Holiday,String,Nieuwjaar,,
d_Date,Working day (0/1),Integer,1,,
d_Date,Month Initial,String,J,,
d_GL Account,BS_PL Line,String,Stocks,,
d_GL Account,GL Account Name,String,Grondstoffen Vestiging BASIS,,
d_GL Account,GL Account Code,String,300000,,
d_GL Account,System,String,NAV,,
d_GL Account,GL Account ID,String,NAV|300000,,
d_GL Account,GL Account Full,String,300000|Grondstoffen Vestiging BASIS,,
d_GL Account,GL Domain,String,61..64/72/74,,
d_GL Account,GL Factor,Integer,-1,,
d_GL Account,Value Ledger Relevant,String,NO,,
d_GL Account,Movement GL,String,9_CORRECTION,,
d_GL Account,Cost price used,String,NAV_STAT,,
d_GL Account,Default CC,String,BC|775,,
d_GL Account,Default Ctry,String,BC|910,,
d_GL Account,Aggregation detail,String,Full,,
d_GL Account,Initial / Reversal,String,Reversal,,
d_GL Account,Statutory / Secondary,String,STAT,,
d_GL Account,GL Account Type,String,B,,
z_Today,Today,DateTime,29/08/2025 00:00:00,,
z_Today,Now,DateTime,29/08/2025 16:50:13,,
z_Today,TodayPeriod,Integer,8,,
